id,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
3668,,,,,,12:59:00,13:04:00,13:06:00,13:18:00,13:22:00,13:55:00,13:58:00,14:00:00,14:02:00,14:17:00,12:56:00,13:16:00,13:16:00,13:13:00,13:23:00,13:11:00
3669,,,,,,12:52:00,12:53:00,12:54:00,13:13:00,13:15:00,13:46:00,13:49:00,13:51:00,13:54:00,14:01:00,12:47:00,13:10:00,13:12:00,13:03:00,13:18:00,13:05:00
3670,,,,,,14:05:00,14:06:00,14:07:00,14:21:00,14:25:00,14:52:00,14:53:00,14:54:00,14:57:00,15:03:00,14:02:00,14:25:00,14:10:00,14:15:00,14:24:00,14:14:00
3671,,,,,,15:49:00,15:52:00,15:55:00,16:00:00,16:03:00,16:32:00,16:34:00,16:38:00,16:42:00,17:01:00,15:42:00,16:08:00,15:33:00,16:03:00,16:09:00,16:02:00
3672,,,,,,12:53:00,12:54:00,12:55:00,13:10:00,13:13:00,13:50:00,13:52:00,13:54:00,14:00:00,14:14:00,12:50:00,13:10:00,13:32:00,13:05:00,13:15:00,13:03:00
3673,,,,,,12:41:00,12:44:00,12:46:00,12:54:00,13:09:00,13:46:00,13:51:00,13:56:00,14:00:00,14:23:00,12:38:00,13:04:00,13:00:00,12:55:00,13:08:00,12:57:00
3674,,,,,,13:06:00,13:09:00,13:12:00,13:24:00,13:26:00,13:57:00,14:00:00,14:01:00,14:05:00,14:27:00,12:57:00,13:27:00,13:26:00,13:20:00,13:22:00,13:22:00
3705,,,,,,15:28:00,15:29:00,15:30:00,15:45:00,15:47:00,16:16:00,16:17:00,16:18:00,16:23:00,16:32:00,15:20:00,15:47:00,15:20:00,15:38:00,15:48:00,15:39:00
3706,,,,,,15:08:00,15:11:00,15:15:00,15:35:00,15:44:00,15:55:00,15:57:00,15:57:00,16:01:00,16:12:00,15:06:00,15:33:00,15:14:00,15:24:00,15:36:00,15:25:00
3707,,,,,,15:23:00,15:24:00,15:25:00,15:45:00,15:47:00,16:06:00,16:08:00,16:10:00,16:34:00,16:42:00,15:16:00,15:44:00,15:20:00,15:35:00,15:49:00,15:34:00
3708,,,,,,15:34:00,15:36:00,15:38:00,15:50:00,16:00:00,16:20:00,16:25:00,16:26:00,16:31:00,16:41:00,15:28:00,15:56:00,15:38:00,15:45:00,15:55:00,15:47:00
3709,,,,,,15:23:00,15:24:00,15:25:00,15:45:00,15:47:00,15:59:00,16:02:00,16:15:00,16:46:00,16:54:00,15:19:00,15:41:00,15:25:00,15:32:00,15:50:00,15:35:00
3710,,,,,,15:14:00,15:18:00,15:21:00,15:35:00,15:40:00,16:05:00,16:06:00,16:10:00,16:24:00,16:35:00,15:11:00,15:38:00,15:20:00,15:30:00,15:40:00,15:29:00
3711,,,,,,15:02:00,15:06:00,15:08:00,15:29:00,15:32:00,15:50:00,15:56:00,15:56:00,16:02:00,16:08:00,14:58:00,15:46:00,15:20:00,15:14:00,15:33:00,15:41:00
3712,,,,,,15:57:00,16:01:00,16:03:00,16:11:00,16:17:00,16:43:00,16:44:00,16:47:00,16:50:00,17:00:00,15:54:00,16:21:00,16:03:00,16:10:00,16:21:00,16:14:00
3713,,,,,,15:18:00,15:20:00,15:21:00,15:35:00,15:50:00,16:05:00,16:12:00,16:14:00,16:17:00,16:33:00,15:14:00,15:35:00,15:20:00,15:30:00,15:40:00,15:28:00
3714,,,,,,16:21:00,16:24:00,16:26:00,16:39:00,16:41:00,16:59:00,17:08:00,17:10:00,17:21:00,17:34:00,16:19:00,16:47:00,16:37:00,16:35:00,16:45:00,16:37:00
